id_number,question_string,solved_int,level_int,question_link,tag
1028,Collectable Cards,21926,3,https://judge.beecrowd.com/en/problems/view/1028,gcd number-theory
1093,Vampires,2617,3,https://judge.beecrowd.com/en/problems/view/1093,probability simulation
1138,Digits Count,1548,8,https://judge.beecrowd.com/en/problems/view/1138,digit-counting combinatorics
1161,Factorial Sum,23406,5,https://judge.beecrowd.com/en/problems/view/1161,factorial arithmetic
1163,Angry Ducks,1968,7,https://judge.beecrowd.com/en/problems/view/1163,projectile trigonometry
1169,Grains in a Chess Board,9011,4,https://judge.beecrowd.com/en/problems/view/1169,exponentiation geometric-progression
1170,Blobs,15694,3,https://judge.beecrowd.com/en/problems/view/1170,logarithm iteration
1193,Base Conversion,5064,3,https://judge.beecrowd.com/en/problems/view/1193,base-conversion number-systems
1198,Hashmat the Brave Warrior,12372,5,https://judge.beecrowd.com/en/problems/view/1198,arithmetic absolute-difference
1199,Simple Base Conversion,5631,3,https://judge.beecrowd.com/en/problems/view/1199,base-conversion number-systems
1202,White Nights Festival,1234,7,https://judge.beecrowd.com/en/problems/view/1202,fibonacci modular-arithmetic
1212,Primary Arithmetic,7060,8,https://judge.beecrowd.com/en/problems/view/1212,digit-arithmetic simulation
1213,Ones,3061,5,https://judge.beecrowd.com/en/problems/view/1213,number-theory modular-arithmetic
1214,Above Average,9543,3,https://judge.beecrowd.com/en/problems/view/1214,average statistics arithmetic
1219,Colourful Flowers,2787,5,https://judge.beecrowd.com/en/problems/view/1219,geometry heron circle
1220,The Trip,1185,7,https://judge.beecrowd.com/en/problems/view/1220,arithmetic money-splitting
1221,Fast Prime Number,14732,6,https://judge.beecrowd.com/en/problems/view/1221,prime-testing number-theory
1230,Integral,74,10,https://judge.beecrowd.com/en/problems/view/1230,numerical-integration interpolation
1232,Rubik Cycle,342,7,https://judge.beecrowd.com/en/problems/view/1232,group-theory permutation
1233,Star,1214,6,https://judge.beecrowd.com/en/problems/view/1233,combinatorics number-theory
1240,Fit or Dont Fit I,9916,2,https://judge.beecrowd.com/en/problems/view/1240,modular-arithmetic digit-matching
1247,Coast Guard,5075,2,https://judge.beecrowd.com/en/problems/view/1247,relative-motion geometry
1264,An Easy Problem!,536,7,https://judge.beecrowd.com/en/problems/view/1264,divisibility number-systems
1279,Leap Year or Not Leap Year and …,3728,6,https://judge.beecrowd.com/en/problems/view/1279,divisibility leap-year
1289,What is the Probability?,456,7,https://judge.beecrowd.com/en/problems/view/1289,probability geometric-series
1297,Environment Protection,264,10,https://judge.beecrowd.com/en/problems/view/1297,integration binary-search
