id_number,question_string,solved_int,level_int,question_link
1028,Collectable Cards,21926,3,https://judge.beecrowd.com/en/problems/view/1028
1093,Vampires,2617,3,https://judge.beecrowd.com/en/problems/view/1093
1138,Digits Count,1548,8,https://judge.beecrowd.com/en/problems/view/1138
1161,Factorial Sum,23406,5,https://judge.beecrowd.com/en/problems/view/1161
1163,Angry Ducks,1968,7,https://judge.beecrowd.com/en/problems/view/1163
1169,Grains in a Chess Board,9011,4,https://judge.beecrowd.com/en/problems/view/1169
1170,Blobs,15694,3,https://judge.beecrowd.com/en/problems/view/1170
1193,Base Conversion,5064,3,https://judge.beecrowd.com/en/problems/view/1193
1197,Back to High School Physics,12698,1,https://judge.beecrowd.com/en/problems/view/1197
1198,Hashmat the Brave Warrior,12372,5,https://judge.beecrowd.com/en/problems/view/1198
1199,Simple Base Conversion,5631,3,https://judge.beecrowd.com/en/problems/view/1199
1202,White Nights Festival,1234,7,https://judge.beecrowd.com/en/problems/view/1202
1212,Primary Arithmetic,7060,8,https://judge.beecrowd.com/en/problems/view/1212
1213,Ones,3061,5,https://judge.beecrowd.com/en/problems/view/1213
1214,Above Average,9543,3,https://judge.beecrowd.com/en/problems/view/1214
1219,Colourful Flowers,2787,5,https://judge.beecrowd.com/en/problems/view/1219
1220,The Trip,1185,7,https://judge.beecrowd.com/en/problems/view/1220
1221,Fast Prime Number,14732,6,https://judge.beecrowd.com/en/problems/view/1221
1230,Integral,74,10,https://judge.beecrowd.com/en/problems/view/1230
1232,Rubik Cycle,342,7,https://judge.beecrowd.com/en/problems/view/1232
1233,Star,1214,6,https://judge.beecrowd.com/en/problems/view/1233
1240,Fit or Dont Fit I,9916,2,https://judge.beecrowd.com/en/problems/view/1240
1247,Coast Guard,5075,2,https://judge.beecrowd.com/en/problems/view/1247
1264,An Easy Problem!,536,7,https://judge.beecrowd.com/en/problems/view/1264
1279,Leap Year or Not Leap Year and …,3728,6,https://judge.beecrowd.com/en/problems/view/1279
1280,Friends,196,9,https://judge.beecrowd.com/en/problems/view/1280
1289,What is the Probability?,456,7,https://judge.beecrowd.com/en/problems/view/1289
1297,Environment Protection,264,10,https://judge.beecrowd.com/en/problems/view/1297
1304,Average Speed,965,6,https://judge.beecrowd.com/en/problems/view/1304
1306,Numbering Roads,2155,3,https://judge.beecrowd.com/en/problems/view/1306
1307,All You Need Is Love,2363,4,https://judge.beecrowd.com/en/problems/view/1307
1308,Etruscan Warriors Never Play Chess,2595,5,https://judge.beecrowd.com/en/problems/view/1308
1309,Monetary Formatting,2921,4,https://judge.beecrowd.com/en/problems/view/1309
1323,Feynman,8016,1,https://judge.beecrowd.com/en/problems/view/1323
1324,Higgs Boson,44,10,https://judge.beecrowd.com/en/problems/view/1324
